"","person_income","person_home_ownership","loan_grade","loan_amnt","loan_status","loan_percent_income","cb_person_default_on_file","emp_cat","ir_cat"
"6106",48000,"MORTGAGE","A",10000,0,0.21,"N","0-15","0-8"
"6107",18000,"RENT","A",6000,1,0.33,"N","0-15","0-8"
"6108",48000,"MORTGAGE","B",12000,0,0.25,"N","0-15","Missing"
"6109",18000,"RENT","B",6000,1,0.33,"N","0-15","11-13.5"
"6110",18000,"RENT","B",6000,1,0.33,"N","0-15","Missing"
"6111",18200,"RENT","A",6000,1,0.33,"N","0-15","0-8"
"6112",18996,"RENT","Other",6000,1,0.32,"Y","0-15","13.5+"
"6113",42000,"MORTGAGE","Other",2000,1,0.05,"Y","0-15","13.5+"
"6114",48000,"MORTGAGE","A",3500,0,0.07,"N","0-15","0-8"
"6115",18996,"RENT","A",6000,1,0.32,"N","0-15","Missing"
"6116",19000,"RENT","C",6000,1,0.32,"N","0-15","8-11"
"6117",48000,"MORTGAGE","B",3800,0,0.08,"N","0-15","Missing"
"6118",19200,"RENT","B",6000,1,0.31,"N","0-15","8-11"
"6119",19200,"RENT","A",6000,1,0.31,"N","0-15","0-8"
"6120",19200,"RENT","B",6000,1,0.31,"N","0-15","8-11"
"6121",19200,"RENT","C",6000,1,0.31,"Y","0-15","11-13.5"
"6122",48000,"MORTGAGE","A",6500,0,0.14,"N","0-15","0-8"
"6123",20000,"RENT","A",6000,0,0.3,"N","0-15","0-8"
"6124",48000,"MORTGAGE","A",17000,0,0.35,"N","0-15","0-8"
"6125",48000,"OTHER","A",3000,0,0.06,"N","0-15","0-8"
"6126",20400,"RENT","B",6000,0,0.29,"N","0-15","8-11"
"6127",21300,"RENT","C",6000,0,0.28,"Y","0-15","13.5+"
"6128",48000,"OTHER","B",2550,0,0.05,"N","0-15","11-13.5"
"6129",21600,"RENT","B",6000,0,0.28,"N","0-15","8-11"
"6130",21600,"RENT","Other",6000,1,0.28,"N","0-15","13.5+"
"6131",21640,"RENT","A",6000,0,0.28,"N","Missing","0-8"
"6132",21812,"RENT","C",6000,0,0.28,"Y","0-15","13.5+"
"6133",21996,"RENT","C",6000,0,0.27,"Y","0-15","11-13.5"
"6134",48000,"MORTGAGE","B",9600,0,0.2,"N","0-15","11-13.5"
"6135",22600,"RENT","C",6000,0,0.27,"N","0-15","11-13.5"
"6136",22800,"RENT","B",6000,0,0.26,"N","Missing","Missing"
"6137",22800,"RENT","C",6000,1,0.26,"N","0-15","11-13.5"
"6138",48000,"MORTGAGE","A",9600,0,0.2,"N","0-15","0-8"
"6139",22880,"RENT","C",6000,0,0.26,"Y","0-15","13.5+"
"6140",48000,"MORTGAGE","B",5000,0,0.1,"N","0-15","Missing"
"6141",22884,"RENT","B",6000,0,0.26,"N","0-15","11-13.5"
"6142",23000,"RENT","B",6000,0,0.26,"N","0-15","8-11"
"6143",48000,"MORTGAGE","B",4000,0,0.08,"N","0-15","11-13.5"
"6144",23040,"RENT","A",6000,1,0.26,"N","0-15","0-8"
"6145",23198,"RENT","A",6000,0,0.26,"N","0-15","0-8"
"6146",23631,"RENT","B",6000,0,0.25,"N","Missing","Missing"
"6147",24000,"RENT","B",6000,0,0.25,"N","0-15","8-11"
"6148",48000,"MORTGAGE","A",4000,0,0.08,"N","0-15","0-8"
"6149",24000,"RENT","A",6000,0,0.25,"N","0-15","8-11"
"6150",48000,"MORTGAGE","B",7350,0,0.15,"N","0-15","11-13.5"
"6151",24000,"RENT","A",6000,0,0.25,"N","0-15","0-8"
"6152",48000,"MORTGAGE","A",1200,0,0.03,"N","0-15","0-8"
"6153",24000,"RENT","A",6000,0,0.25,"N","0-15","0-8"
"6154",24000,"RENT","B",6000,0,0.25,"N","0-15","11-13.5"
"6155",48000,"MORTGAGE","A",3200,0,0.07,"N","0-15","0-8"
"6156",42000,"MORTGAGE","Other",18250,1,0.43,"Y","Missing","13.5+"
"6157",48000,"MORTGAGE","A",9600,0,0.2,"N","0-15","Missing"
"6158",24000,"RENT","C",6000,0,0.25,"Y","Missing","11-13.5"
"6159",48000,"OTHER","B",15000,0,0.31,"N","0-15","11-13.5"
"6160",24000,"RENT","B",6000,0,0.25,"N","0-15","Missing"
"6161",48000,"MORTGAGE","B",24250,0,0.51,"N","0-15","8-11"
"6162",48000,"MORTGAGE","C",7000,0,0.15,"N","0-15","11-13.5"
"6163",48000,"MORTGAGE","A",5000,0,0.1,"N","0-15","0-8"
"6164",24000,"RENT","B",6000,0,0.25,"N","0-15","11-13.5"
"6165",24000,"RENT","B",6000,1,0.25,"N","0-15","11-13.5"
"6166",24996,"RENT","C",6000,0,0.24,"N","0-15","13.5+"
"6167",24996,"RENT","B",6000,0,0.24,"N","0-15","11-13.5"
"6168",25000,"RENT","A",6000,0,0.24,"N","0-15","0-8"
"6169",25000,"RENT","B",6000,0,0.24,"N","0-15","Missing"
"6170",48000,"MORTGAGE","B",6500,0,0.14,"N","0-15","8-11"
"6171",25000,"RENT","Other",6000,1,0.24,"N","0-15","13.5+"
"6172",25000,"RENT","B",6000,0,0.24,"N","0-15","Missing"
"6173",25000,"RENT","A",6000,0,0.24,"N","0-15","0-8"
"6174",48000,"OTHER","B",15000,0,0.31,"N","0-15","8-11"
"6175",48000,"MORTGAGE","B",15000,0,0.31,"N","0-15","8-11"
"6176",25200,"RENT","A",6000,0,0.24,"N","0-15","0-8"
"6177",48000,"MORTGAGE","B",4200,0,0.09,"N","0-15","8-11"
"6178",48000,"MORTGAGE","B",5500,0,0.11,"N","0-15","11-13.5"
"6179",48000,"MORTGAGE","C",16750,0,0.35,"Y","0-15","Missing"
"6180",48000,"MORTGAGE","A",4000,0,0.08,"N","0-15","Missing"
"6181",25200,"RENT","A",6000,0,0.24,"N","0-15","0-8"
"6182",25200,"RENT","C",6000,1,0.24,"Y","0-15","11-13.5"
"6183",48000,"MORTGAGE","B",12000,0,0.25,"N","0-15","11-13.5"
"6184",25200,"RENT","A",6000,0,0.24,"N","0-15","8-11"
"6185",25200,"RENT","B",6000,0,0.24,"N","0-15","8-11"
"6186",25800,"RENT","A",6000,0,0.23,"N","0-15","0-8"
"6187",25800,"RENT","C",6000,0,0.23,"Y","0-15","Missing"
"6188",26000,"RENT","A",6000,0,0.23,"N","0-15","0-8"
"6189",26400,"RENT","B",6000,0,0.23,"N","0-15","8-11"
"6190",48000,"MORTGAGE","A",7800,0,0.16,"N","0-15","8-11"
"6191",26400,"RENT","C",6000,0,0.23,"N","0-15","0-8"
"6192",26400,"RENT","A",6000,0,0.23,"N","0-15","8-11"
"6193",26500,"RENT","B",6000,0,0.23,"N","0-15","11-13.5"
"6194",48000,"OTHER","A",7500,0,0.16,"N","0-15","0-8"
"6195",26500,"RENT","C",6000,0,0.23,"Y","0-15","13.5+"
"6196",26780,"RENT","B",6000,0,0.22,"N","0-15","8-11"
"6197",27000,"RENT","B",6000,0,0.22,"N","0-15","11-13.5"
"6198",42000,"MORTGAGE","A",3500,1,0.08,"N","0-15","8-11"
"6199",27000,"RENT","C",6000,0,0.22,"N","0-15","11-13.5"
"6200",48000,"MORTGAGE","B",2800,0,0.06,"N","0-15","11-13.5"
"6201",27031,"RENT","B",6000,0,0.22,"N","0-15","8-11"
"6202",48000,"MORTGAGE","A",3100,0,0.06,"N","0-15","8-11"
"6203",27040,"RENT","A",6000,0,0.22,"N","0-15","0-8"
"6204",48000,"OTHER","Other",15750,0,0.33,"N","0-15","13.5+"
"6205",27600,"RENT","B",6000,0,0.22,"N","0-15","8-11"
"6206",48000,"MORTGAGE","B",4400,0,0.09,"N","0-15","11-13.5"
"6207",48000,"MORTGAGE","C",16750,0,0.35,"Y","0-15","13.5+"
"6208",48000,"OTHER","C",6000,0,0.13,"Y","0-15","11-13.5"
"6209",48000,"MORTGAGE","B",8000,0,0.17,"N","0-15","11-13.5"
"6210",28000,"RENT","B",6000,1,0.21,"N","0-15","8-11"
"6211",28000,"RENT","B",6000,0,0.21,"N","0-15","8-11"
"6212",28000,"RENT","C",6000,0,0.21,"Y","0-15","11-13.5"
"6213",48000,"MORTGAGE","A",10000,0,0.21,"N","0-15","0-8"
"6214",28000,"RENT","A",6000,0,0.21,"N","0-15","8-11"
"6215",28284,"RENT","A",6000,0,0.21,"N","0-15","0-8"
"6216",48000,"MORTGAGE","C",10800,0,0.23,"N","0-15","11-13.5"
"6217",28675,"RENT","A",6000,0,0.21,"N","0-15","8-11"
"6218",28800,"RENT","B",6000,0,0.21,"N","0-15","Missing"
"6219",28800,"RENT","C",6000,0,0.21,"Y","0-15","13.5+"
"6220",28800,"RENT","B",6000,1,0.21,"N","0-15","8-11"
"6221",28800,"RENT","A",6000,0,0.21,"N","0-15","8-11"
"6222",28800,"RENT","Other",6000,1,0.21,"Y","0-15","13.5+"
"6223",29000,"RENT","C",6000,0,0.21,"N","0-15","13.5+"
"6224",29000,"RENT","A",6000,0,0.21,"N","0-15","0-8"
"6225",29000,"RENT","C",6000,0,0.21,"N","0-15","13.5+"
"6226",29000,"RENT","B",6000,0,0.21,"N","0-15","8-11"
"6227",29000,"RENT","B",6000,0,0.21,"N","0-15","11-13.5"
"6228",48000,"OTHER","C",2800,0,0.06,"Y","0-15","11-13.5"
"6229",29820,"RENT","C",6000,0,0.2,"N","0-15","13.5+"
"6230",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"6231",48000,"OTHER","A",10400,0,0.22,"N","0-15","0-8"
"6232",30000,"RENT","B",6000,0,0.2,"N","0-15","8-11"
"6233",30000,"RENT","C",6000,1,0.2,"N","0-15","13.5+"
"6234",48000,"MORTGAGE","A",9925,0,0.21,"N","0-15","8-11"
"6235",30000,"RENT","C",6000,0,0.2,"N","0-15","11-13.5"
"6236",48000,"OTHER","B",7800,0,0.16,"N","0-15","11-13.5"
"6237",30000,"RENT","A",6000,0,0.2,"N","0-15","0-8"
"6238",48000,"MORTGAGE","A",10000,0,0.21,"N","0-15","8-11"
"6239",30000,"RENT","C",6000,0,0.2,"N","0-15","11-13.5"
"6240",30000,"RENT","A",6000,0,0.2,"N","0-15","0-8"
"6241",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"6242",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"6243",48000,"OTHER","A",1300,0,0.03,"N","0-15","8-11"
"6244",48000,"MORTGAGE","A",4800,0,0.1,"N","0-15","8-11"
"6245",48000,"OTHER","B",2400,0,0.05,"N","0-15","11-13.5"
"6246",48000,"MORTGAGE","C",7000,0,0.15,"Y","0-15","11-13.5"
"6247",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"6248",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"6249",48000,"OTHER","B",5000,0,0.1,"N","0-15","8-11"
"6250",48000,"MORTGAGE","A",5000,0,0.1,"N","0-15","0-8"
"6251",30000,"RENT","C",6000,0,0.2,"Y","0-15","11-13.5"
"6252",30000,"RENT","B",6000,1,0.2,"N","0-15","8-11"
"6253",30000,"RENT","A",6000,0,0.2,"N","0-15","8-11"
"6254",30000,"RENT","Other",6000,1,0.2,"Y","0-15","13.5+"
"6255",30000,"RENT","B",6000,0,0.2,"N","0-15","8-11"
"6256",30000,"RENT","A",6000,0,0.2,"N","0-15","0-8"
"6257",30000,"RENT","C",6000,0,0.2,"Y","0-15","13.5+"
"6258",30000,"RENT","A",6000,0,0.2,"N","0-15","0-8"
"6259",48000,"MORTGAGE","C",3500,0,0.07,"N","0-15","8-11"
"6260",30000,"RENT","Other",6000,1,0.2,"Y","0-15","Missing"
"6261",30000,"RENT","A",6000,0,0.2,"N","0-15","8-11"
"6262",30000,"RENT","A",6000,0,0.2,"N","0-15","0-8"
"6263",48152,"MORTGAGE","A",9500,0,0.2,"N","0-15","0-8"
"6264",48156,"MORTGAGE","A",3000,0,0.06,"N","0-15","Missing"
"6265",31000,"RENT","A",6000,0,0.19,"N","0-15","0-8"
"6266",48235,"MORTGAGE","B",20000,0,0.41,"N","0-15","11-13.5"
"6267",48360,"MORTGAGE","A",6000,0,0.12,"N","0-15","0-8"
"6268",31200,"RENT","C",6000,0,0.19,"N","0-15","13.5+"
"6269",31200,"RENT","Other",6000,1,0.19,"N","0-15","13.5+"
"6270",31200,"RENT","C",6000,1,0.19,"N","0-15","13.5+"
"6271",31200,"RENT","C",6000,0,0.19,"N","0-15","11-13.5"
"6272",48500,"MORTGAGE","C",6500,0,0.13,"N","0-15","Missing"
"6273",31680,"RENT","B",6000,0,0.19,"N","0-15","11-13.5"
"6274",32000,"RENT","C",6000,1,0.19,"N","0-15","11-13.5"
"6275",48500,"MORTGAGE","A",13000,0,0.27,"N","0-15","0-8"
"6276",48500,"MORTGAGE","B",6000,0,0.12,"N","0-15","8-11"
"6277",32000,"RENT","A",6000,0,0.19,"N","0-15","0-8"
"6278",32000,"RENT","B",6000,1,0.19,"N","0-15","8-11"
"6279",48500,"OTHER","Other",19500,1,0.4,"N","0-15","13.5+"
"6280",42500,"MORTGAGE","Other",7000,1,0.16,"Y","0-15","13.5+"
"6281",32000,"RENT","Other",6000,1,0.19,"Y","0-15","11-13.5"
"6282",32001,"RENT","Other",6000,0,0.19,"Y","0-15","Missing"
"6283",48526,"MORTGAGE","B",13500,0,0.28,"N","0-15","11-13.5"
"6284",32004,"RENT","Other",6000,1,0.19,"N","0-15","13.5+"
"6285",48600,"OTHER","A",5000,0,0.1,"N","0-15","0-8"
"6286",32124,"RENT","Other",6000,1,0.19,"Y","Missing","13.5+"
"6287",32496,"RENT","C",6000,0,0.18,"N","0-15","11-13.5"
"6288",48600,"MORTGAGE","B",6000,0,0.12,"N","0-15","11-13.5"
"6289",48600,"MORTGAGE","B",19000,0,0.39,"N","0-15","11-13.5"
"6290",33000,"RENT","Other",6000,1,0.18,"N","0-15","13.5+"
"6291",33000,"RENT","C",6000,0,0.18,"N","0-15","13.5+"
"6292",48661,"MORTGAGE","Other",8000,0,0.16,"N","0-15","13.5+"
"6293",33276,"RENT","C",6000,0,0.18,"Y","0-15","11-13.5"
"6294",33280,"RENT","C",6000,0,0.18,"Y","0-15","11-13.5"
"6295",33600,"RENT","B",6000,0,0.18,"N","0-15","8-11"
"6296",33650,"RENT","Other",6000,1,0.18,"N","0-15","11-13.5"
"6297",48732,"OTHER","A",3500,0,0.07,"N","0-15","8-11"
"6298",48800,"MORTGAGE","A",9000,0,0.18,"N","0-15","0-8"
"6299",33996,"RENT","C",6000,0,0.18,"Y","0-15","11-13.5"
"6300",48852,"MORTGAGE","A",10300,0,0.21,"N","0-15","0-8"
"6301",34000,"RENT","A",6000,0,0.18,"N","0-15","8-11"
"6302",34000,"RENT","B",6000,0,0.18,"N","0-15","11-13.5"
"6303",48960,"MORTGAGE","Other",10000,0,0.2,"N","0-15","13.5+"
"6304",34000,"RENT","Other",6000,1,0.18,"Y","0-15","13.5+"
"6305",48996,"MORTGAGE","A",5000,0,0.1,"N","0-15","0-8"
"6306",34039,"RENT","A",6000,0,0.18,"N","Missing","0-8"
"6307",48996,"MORTGAGE","C",10525,0,0.21,"N","0-15","13.5+"
"6308",29000,"RENT","C",6000,1,0.21,"N","0-15","11-13.5"
"6309",35000,"RENT","A",6000,0,0.17,"N","0-15","0-8"
"6310",42996,"MORTGAGE","C",12000,1,0.28,"N","0-15","13.5+"
"6311",29000,"RENT","A",6000,1,0.21,"N","0-15","0-8"
"6312",35000,"RENT","C",6000,0,0.17,"Y","0-15","13.5+"
"6313",35000,"RENT","B",6000,0,0.17,"N","0-15","Missing"
"6314",35004,"RENT","B",6000,0,0.17,"N","0-15","8-11"
"6315",29004,"RENT","Other",6000,1,0.21,"N","0-15","13.5+"
"6316",35004,"RENT","B",6000,0,0.17,"N","0-15","Missing"
"6317",29004,"RENT","Other",6000,1,0.21,"N","0-15","13.5+"
"6318",49000,"MORTGAGE","A",9600,0,0.2,"N","0-15","0-8"
"6319",43000,"MORTGAGE","Other",4000,1,0.09,"N","0-15","13.5+"
"6320",49000,"MORTGAGE","A",3500,0,0.07,"N","0-15","0-8"
"6321",35324,"RENT","B",6000,0,0.17,"N","0-15","Missing"
"6322",43000,"MORTGAGE","Other",10000,1,0.23,"Y","0-15","13.5+"
"6323",29364,"RENT","C",6000,1,0.2,"Y","0-15","11-13.5"
"6324",49000,"OTHER","C",3000,0,0.06,"N","0-15","Missing"
"6325",43000,"MORTGAGE","B",3000,1,0.07,"N","0-15","8-11"
"6326",49000,"MORTGAGE","C",4000,0,0.08,"N","0-15","13.5+"
"6327",35392,"RENT","A",6000,0,0.17,"N","0-15","0-8"
"6328",49000,"MORTGAGE","A",7000,0,0.14,"N","0-15","0-8"
"6329",29916,"RENT","Other",6000,1,0.2,"N","0-15","13.5+"
"6330",36000,"RENT","B",6000,0,0.17,"N","0-15","Missing"
"6331",49000,"MORTGAGE","A",2700,0,0.06,"N","0-15","0-8"
"6332",49000,"MORTGAGE","A",2400,0,0.05,"N","0-15","0-8"
"6333",49000,"MORTGAGE","A",2400,0,0.05,"N","0-15","0-8"
"6334",49000,"MORTGAGE","B",18225,0,0.37,"N","0-15","8-11"
"6335",49000,"MORTGAGE","B",20000,0,0.41,"N","0-15","8-11"
"6336",30000,"RENT","C",6000,1,0.2,"N","0-15","13.5+"
"6337",30000,"RENT","Other",6000,1,0.2,"Y","0-15","13.5+"
"6338",36000,"RENT","C",6000,0,0.17,"N","0-15","11-13.5"
"6339",49000,"MORTGAGE","A",16750,0,0.34,"N","Missing","0-8"
"6340",30000,"RENT","Other",6000,1,0.2,"N","0-15","13.5+"
"6341",49000,"MORTGAGE","A",6000,0,0.12,"N","0-15","0-8"
"6342",49000,"MORTGAGE","A",14000,0,0.29,"N","0-15","0-8"
"6343",36000,"RENT","B",6000,0,0.17,"N","0-15","8-11"
"6344",49000,"MORTGAGE","A",3500,0,0.07,"N","0-15","0-8"
"6345",49000,"OTHER","A",2500,0,0.05,"N","0-15","0-8"
"6346",36000,"RENT","B",6000,0,0.17,"N","0-15","8-11"
"6347",36000,"RENT","B",6000,0,0.17,"N","0-15","11-13.5"
"6348",36000,"RENT","C",6000,0,0.17,"N","0-15","13.5+"
"6349",49000,"MORTGAGE","A",4000,0,0.08,"N","0-15","8-11"
"6350",49000,"MORTGAGE","B",8500,0,0.17,"N","0-15","11-13.5"
"6351",36000,"RENT","B",6000,0,0.17,"N","0-15","8-11"
"6352",49000,"MORTGAGE","A",14000,0,0.29,"N","0-15","Missing"
"6353",36000,"RENT","B",6000,0,0.17,"N","0-15","11-13.5"
"6354",49000,"MORTGAGE","A",7000,0,0.14,"N","0-15","8-11"
"6355",30000,"RENT","Other",6000,1,0.2,"Y","0-15","13.5+"
"6356",36000,"RENT","A",6000,0,0.17,"N","0-15","0-8"
"6357",49000,"MORTGAGE","Other",20000,0,0.41,"Y","0-15","13.5+"
"6358",49000,"MORTGAGE","Other",7000,0,0.14,"Y","0-15","11-13.5"
"6359",36000,"RENT","A",6000,0,0.17,"N","0-15","0-8"
"6360",49032,"MORTGAGE","B",2400,0,0.05,"N","0-15","11-13.5"
"6361",49140,"OTHER","C",3000,0,0.06,"N","0-15","11-13.5"
"6362",49152,"MORTGAGE","B",3000,0,0.06,"N","0-15","11-13.5"
"6363",36000,"RENT","Other",6000,0,0.17,"N","0-15","13.5+"
"6364",30000,"RENT","Other",6000,1,0.2,"Y","0-15","13.5+"
"6365",30000,"RENT","Other",6000,1,0.2,"Y","0-15","13.5+"
"6366",30000,"RENT","C",6000,1,0.2,"Y","0-15","11-13.5"
"6367",49200,"MORTGAGE","A",21000,0,0.43,"N","Missing","0-8"
"6368",49200,"MORTGAGE","A",4800,0,0.1,"N","0-15","0-8"
"6369",49200,"MORTGAGE","A",5600,0,0.11,"N","0-15","0-8"
"6370",30000,"RENT","Other",6000,1,0.2,"N","0-15","13.5+"
"6371",49200,"MORTGAGE","B",6000,0,0.12,"N","0-15","8-11"
"6372",49200,"OTHER","C",4000,0,0.08,"N","0-15","11-13.5"
"6373",49200,"OTHER","B",10750,0,0.22,"N","0-15","11-13.5"
"6374",49200,"MORTGAGE","A",4800,0,0.1,"N","0-15","0-8"
"6375",36100,"RENT","B",6000,0,0.17,"N","0-15","8-11"
"6376",36250,"RENT","C",6000,0,0.17,"Y","0-15","13.5+"
"6377",36450,"RENT","A",6000,0,0.16,"N","0-15","8-11"
"6378",36628,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6379",36852,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6380",31000,"RENT","B",6000,1,0.19,"N","0-15","11-13.5"
"6381",37000,"RENT","A",6000,0,0.16,"N","0-15","0-8"
"6382",49344,"MORTGAGE","B",8500,0,0.17,"N","0-15","8-11"
"6383",37000,"RENT","A",6000,0,0.16,"N","0-15","0-8"
"6384",37000,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6385",49441,"OTHER","A",12000,0,0.24,"N","0-15","0-8"
"6386",37200,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6387",37200,"RENT","B",6000,0,0.16,"N","0-15","8-11"
"6388",37500,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6389",37920,"RENT","A",6000,0,0.16,"N","0-15","0-8"
"6390",49500,"MORTGAGE","B",10000,0,0.2,"N","0-15","8-11"
"6391",32000,"RENT","C",6000,1,0.19,"Y","0-15","11-13.5"
"6392",49500,"MORTGAGE","A",2400,0,0.05,"N","0-15","0-8"
"6393",38000,"RENT","A",6000,0,0.16,"N","0-15","0-8"
"6394",38000,"RENT","C",6000,0,0.16,"Y","0-15","13.5+"
"6395",49500,"MORTGAGE","C",9250,0,0.19,"Y","0-15","13.5+"
"6396",38000,"RENT","B",6000,0,0.16,"N","0-15","8-11"
"6397",38000,"RENT","B",6000,0,0.16,"N","0-15","8-11"
"6398",49536,"MORTGAGE","A",5200,0,0.1,"N","0-15","0-8"
"6399",38004,"RENT","B",6000,0,0.16,"N","0-15","11-13.5"
"6400",43590,"MORTGAGE","B",8000,1,0.18,"N","0-15","11-13.5"
"6401",43600,"MORTGAGE","B",25000,1,0.57,"N","0-15","Missing"
"6402",49600,"MORTGAGE","Other",10000,0,0.2,"Y","0-15","13.5+"
"6403",49600,"MORTGAGE","A",2500,0,0.05,"N","0-15","0-8"
"6404",49600,"MORTGAGE","C",10000,0,0.2,"Y","0-15","11-13.5"
"6405",43633,"MORTGAGE","Other",9000,1,0.21,"N","0-15","13.5+"
"6406",33000,"RENT","Other",6000,1,0.18,"N","0-15","13.5+"
"6407",33000,"RENT","B",6000,1,0.18,"N","0-15","Missing"
"6408",49713,"MORTGAGE","B",12000,0,0.24,"N","0-15","11-13.5"
"6409",49716,"MORTGAGE","A",8000,0,0.16,"N","0-15","8-11"
"6410",39000,"RENT","B",6000,0,0.15,"N","0-15","8-11"
"6411",33000,"RENT","Other",6000,1,0.18,"N","0-15","Missing"
"6412",39000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6413",33600,"RENT","Other",6000,1,0.18,"Y","0-15","13.5+"
"6414",39900,"RENT","B",6000,0,0.15,"N","0-15","11-13.5"
"6415",39996,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6416",39996,"RENT","B",6000,0,0.15,"N","0-15","8-11"
"6417",39996,"RENT","C",6000,0,0.15,"N","0-15","11-13.5"
"6418",49920,"MORTGAGE","A",3325,0,0.07,"N","0-15","0-8"
"6419",40000,"RENT","B",6000,0,0.15,"N","0-15","8-11"
"6420",40000,"RENT","B",6000,0,0.15,"N","0-15","11-13.5"
"6421",49920,"MORTGAGE","C",10000,0,0.2,"N","0-15","11-13.5"
"6422",40000,"RENT","B",6000,0,0.15,"N","0-15","Missing"
"6423",49992,"MORTGAGE","B",6000,0,0.12,"N","0-15","8-11"
"6424",49995,"MORTGAGE","B",10000,0,0.2,"N","0-15","11-13.5"
"6425",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6426",50000,"OTHER","B",10000,0,0.2,"N","0-15","11-13.5"
"6427",40000,"RENT","C",6000,0,0.15,"Y","0-15","13.5+"
"6428",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6429",40000,"RENT","B",6000,0,0.15,"N","0-15","Missing"
"6430",50000,"MORTGAGE","B",22000,0,0.44,"N","0-15","8-11"
"6431",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6432",50000,"MORTGAGE","C",10000,0,0.2,"Y","0-15","11-13.5"
"6433",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6434",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6435",50000,"MORTGAGE","C",20000,0,0.4,"N","0-15","13.5+"
"6436",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6437",40000,"RENT","A",6000,0,0.15,"N","0-15","8-11"
"6438",50000,"MORTGAGE","A",6000,0,0.12,"N","0-15","0-8"
"6439",50000,"MORTGAGE","B",13000,0,0.26,"N","0-15","8-11"
"6440",40000,"RENT","C",6000,0,0.15,"Y","0-15","11-13.5"
"6441",34000,"RENT","A",6000,1,0.18,"N","0-15","Missing"
"6442",40000,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6443",50000,"MORTGAGE","C",9000,0,0.18,"N","0-15","11-13.5"
"6444",40000,"RENT","A",6000,0,0.15,"N","0-15","8-11"
"6445",40000,"RENT","B",6000,0,0.15,"N","0-15","8-11"
"6446",34255,"RENT","Other",6000,1,0.18,"Y","0-15","13.5+"
"6447",50000,"OTHER","A",7000,0,0.14,"N","0-15","8-11"
"6448",41000,"RENT","A",6000,0,0.15,"N","0-15","8-11"
"6449",50000,"MORTGAGE","B",18650,0,0.37,"N","0-15","8-11"
"6450",50000,"MORTGAGE","A",4800,0,0.1,"N","0-15","0-8"
"6451",41000,"RENT","B",6000,0,0.15,"N","0-15","8-11"
"6452",44000,"MORTGAGE","Other",20000,1,0.45,"Y","0-15","13.5+"
"6453",41004,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6454",41124,"RENT","A",6000,0,0.15,"N","0-15","0-8"
"6455",50000,"MORTGAGE","B",6000,0,0.12,"N","0-15","11-13.5"
"6456",44000,"MORTGAGE","A",2200,1,0.05,"N","0-15","8-11"
"6457",35196,"RENT","Other",6000,1,0.17,"N","0-15","13.5+"
"6458",50000,"MORTGAGE","A",18650,0,0.37,"N","0-15","0-8"
"6459",42000,"RENT","B",6000,0,0.14,"N","0-15","11-13.5"
"6460",42000,"RENT","B",6000,0,0.14,"N","0-15","8-11"
"6461",42000,"RENT","B",6000,0,0.14,"N","0-15","8-11"
"6462",42000,"RENT","A",6000,0,0.14,"N","0-15","0-8"
"6463",50000,"MORTGAGE","B",17000,0,0.34,"N","0-15","11-13.5"
"6464",50000,"MORTGAGE","A",3000,0,0.06,"N","0-15","0-8"
"6465",50000,"MORTGAGE","C",11200,0,0.22,"Y","0-15","13.5+"
"6466",42000,"RENT","C",6000,0,0.14,"N","0-15","11-13.5"
"6467",50000,"MORTGAGE","B",12500,0,0.25,"N","0-15","8-11"
"6468",42000,"RENT","B",6000,0,0.14,"N","0-15","Missing"
"6469",50000,"OTHER","Other",15000,0,0.3,"N","0-15","13.5+"
"6470",42000,"RENT","B",6000,0,0.14,"N","0-15","11-13.5"
"6471",42000,"RENT","C",6000,0,0.14,"N","0-15","11-13.5"
"6472",50000,"OTHER","B",20000,0,0.4,"N","0-15","11-13.5"
"6473",42000,"RENT","A",6000,0,0.14,"N","0-15","Missing"
"6474",42996,"RENT","C",6000,0,0.14,"Y","0-15","11-13.5"
"6475",50000,"MORTGAGE","A",17000,0,0.34,"N","0-15","0-8"
"6476",44000,"MORTGAGE","Other",15000,1,0.34,"Y","0-15","Missing"
"6477",50000,"MORTGAGE","B",10000,0,0.2,"N","Missing","11-13.5"
